Date,Time,DateTime,N/U,Count,y,bad1,bad2,bad3,bad4
11/1/2018,07:07:07,11/1/2018 07:07:07,460,691,554,,,,
11/1/2018,07:07:08,11/1/2018 07:07:08,460,684,554,,,,
11/1/2018,07:07:09,11/1/2018 07:07:09,460,690,554,,,,
11/1/2018,07:07:09,11/1/2018 07:07:09,460,694,554,,,,
11/1/2018,07:17:10,11/1/2018 07:17:10,460,685,555,,,,
11/1/2018,07:17:10,11/1/2018 07:17:10,460,687,555,,,,
11/1/2018,07:17:11,11/1/2018 07:17:11,460,689,555,,,,
11/1/2018,07:17:11,11/1/2018 07:17:11,460,686,555,,,,
11/1/2018,07:17:12,11/1/2018 07:17:12,460,692,555,,,,
11/1/2018,07:17:12,11/1/2018 07:17:12,460,688,554,,,,
11/1/2018,07:17:13,11/1/2018 07:17:13,460,689,554,,,,
11/1/2018,07:17:13,11/1/2018 07:17:13,460,684,554,,,,
11/1/2018,07:17:14,11/1/2018 07:17:14,460,688,554,,,,
11/1/2018,07:17:14,11/1/2018 07:17:14,460,685,554,,,,
11/1/2018,07:17:15,11/1/2018 07:17:15,460,689,554,,,,
11/1/2018,07:17:15,11/1/2018 07:17:15,460,692,554,,,,
11/1/2018,07:17:16,11/1/2018 07:17:16,460,687,554,,,,
11/1/2018,07:17:17,11/1/2018 07:17:17,460,686,554,,,,
11/1/2018,07:17:17,11/1/2018 07:17:17,460,686,554,,,,
11/1/2018,07:27:18,11/1/2018 07:27:18,460,689,555,,,,
11/1/2018,07:27:18,11/1/2018 07:27:18,460,692,555,,,,
11/1/2018,07:27:19,11/1/2018 07:27:19,460,690,555,,,,
11/1/2018,07:27:19,11/1/2018 07:27:19,460,693,555,,,,
11/1/2018,07:27:20,11/1/2018 07:27:20,460,682,555,,,,
11/1/2018,07:27:20,11/1/2018 07:27:20,460,686,555,,,,
11/1/2018,07:27:21,11/1/2018 07:27:21,460,690,554,,,,
11/1/2018,07:27:21,11/1/2018 07:27:21,460,687,554,,,,
11/1/2018,07:27:22,11/1/2018 07:27:22,460,697,554,,,,
11/1/2018,07:27:22,11/1/2018 07:27:22,460,689,554,,,,
11/1/2018,07:27:23,11/1/2018 07:27:23,460,694,554,,,,
11/1/2018,07:27:23,11/1/2018 07:27:23,460,689,554,,,,
11/1/2018,07:27:24,11/1/2018 07:27:24,460,687,554,,,,
11/1/2018,07:27:25,11/1/2018 07:27:25,460,695,554,,,,
11/1/2018,07:27:25,11/1/2018 07:27:25,460,691,554,,,,
11/1/2018,07:37:26,11/1/2018 07:37:26,460,684,555,,,,
11/1/2018,07:37:26,11/1/2018 07:37:26,460,689,555,,,,
11/1/2018,07:37:27,11/1/2018 07:37:27,460,690,555,,,,
11/1/2018,07:37:27,11/1/2018 07:37:27,460,689,555,,,,
11/1/2018,07:37:28,11/1/2018 07:37:28,460,684,555,,,,
11/1/2018,07:37:28,11/1/2018 07:37:28,460,690,554,,,,
11/1/2018,07:37:29,11/1/2018 07:37:29,460,691,554,,,,
11/1/2018,07:37:29,11/1/2018 07:37:29,460,687,554,,,,
11/1/2018,07:37:30,11/1/2018 07:37:30,460,693,554,,,,
11/1/2018,07:37:30,11/1/2018 07:37:30,460,694,554,,,,
11/1/2018,07:37:31,11/1/2018 07:37:31,460,687,554,,,,
11/1/2018,07:37:31,11/1/2018 07:37:31,460,687,554,,,,
11/1/2018,07:37:32,11/1/2018 07:37:32,460,687,554,,,,
11/1/2018,07:37:33,11/1/2018 07:37:33,460,692,554,,,,
11/1/2018,07:37:33,11/1/2018 07:37:33,460,688,554,,,,
11/1/2018,07:47:34,11/1/2018 07:47:34,460,695,555,,,,
11/1/2018,07:47:34,11/1/2018 07:47:34,460,689,555,,,,
11/1/2018,07:47:35,11/1/2018 07:47:35,460,692,555,,,,
11/1/2018,07:47:35,11/1/2018 07:47:35,460,690,555,,,,
11/1/2018,07:47:36,11/1/2018 07:47:36,460,693,555,,,,
11/1/2018,07:47:36,11/1/2018 07:47:36,460,689,555,,,,
11/1/2018,07:47:37,11/1/2018 07:47:37,460,693,555,,,,
11/1/2018,07:47:37,11/1/2018 07:47:37,460,696,554,,,,
11/1/2018,07:47:38,11/1/2018 07:47:38,460,689,554,,,,
11/1/2018,07:47:38,11/1/2018 07:47:38,460,696,554,,,,
